date,message,views,forwards,replies
2022-09-29 07:05:21+00:00,"Русские, грузины, армяне, евреи США! Паблик для вас!",7426.0,9.0,15.0
2022-09-29 06:36:27+00:00,"Ударим по тирании запада! 
Мы - свободные грузины ни на минуту не забываем, что прямо сейчас наши братья по вере, истории и культуре подвергаются западному давлению и угнетению. Казалось бы, ну где он этот Донбасс, Украина? Это же далеко-далеко? Нет! Это близко, это только начало! Ведь потом может быть и наша страна, чего мы не хотим. Ведь мы уже угнетены западом, что пытается развязать между нами войну! 
Завтрашний день навсегда поставит точку в вопросе ""а за кого там в Грузии?"". Мы жирно напишем ""за Россию!""
Слава России! Свободу Грузии! 🇬🇪❤🇷🇺",8685.0,49.0,260.0
2022-09-29 05:35:04+00:00,"Куда сообщить о митинге?! 
Прислал наш сторонник список!
🇬🇪 ГРУППЫ ПО ГРУЗИИ

Пишем о нашем митинге везде! Народ должен знать! 

➡️ Телеграм
Основной чат: @forum_georgia
• Батуми: @batumi_group
• Гудаури: @gudauri_forum
• Тбилиси: @tbilisi_group
• Кутаиси: @kytaisi_chat

• Жильё:
@arendabatumi
@batumi_sdam
@batumi_nedvijimost
@batumi_posutochno
@gruzia_arenda
@tbilisi_nedvijimost
• Еда:
@gryzia_eda
@food_batumi
• Тусовки:
@gruzia_tusa
@batumi_tusa
• Доска объявлений:
@tbilisi_360
@batumi_360
• Барахолка:
@baraholka_tbilisi
@baraholka_batumi
• Отдам:
@otdam_batumi
@otdam_tbilisi
• Женский чат:
@georgia_woman
@batumi_woman
• Родители:
@batumideti
@tbilisideti
• Питомцы:
@batumi_pitomec
@tbilisi_pitomec

• Работа: @job_georgia
• Медицина: @gruzia_medicina
• IT чат: @georgia_it
• МОТО чат: @moto_georgia
• Авторынок: @georgia_auto
• Крипта и обмен:
@grysiya_cripta
• Попутчики:
@poputchiki_gruzia
Так же есть закрытый чат ЭКСПАТОВ 🤫",8328.0,34.0,254.0
2022-09-29 05:06:23+00:00,"ВЫХОДИ! 
30 сентября 19:00 по Тбилиси, площадь Свободы. 
Мы выйдем на митинг за признание результатов референдума в ДНР, ЛНР, Херсонской и Запорожской области. 
При себе желательно иметь флаги России, Грузии, ДНР, ЛНР, тематические плакаты.
Следим за новостями @svoboda_georgia",8729.0,339.0,781.0
2022-09-28 20:21:44+00:00,,,,
2022-09-28 19:13:36+00:00,"Вот, что делает Россия! 

Сложно даже представить, как она изменила бы нашу страну, да ещё и без всяких боёв! Что если бы мы просто мирно объединились с Россией?",14575.0,140.0,6642.0
2022-09-28 18:50:10+00:00,"От подписчика: 
От всей души приветствую. Моё имя Даниэл, живу в Грузии с самого рождения, но часто отдыхал со всей семьёй на российских курортах. Я просто восхищен красотой этой страны, красотой русских женщин, и самое главное- твёрдым характером россиян.
Сегодня заметил ваш канал, меня очень вдохновила ваша деятельность.
Раз уж тут всех пробило на откровения, то я тоже кое чем поделюсь.
Возвращаясь домой с работы, я увидел, как трое парней лет 20, начали прижимать одного русского, что пару часов назад пересёк границу. Они спрашивали его ""чей Крым"", ""кто виноват в геноциде украинцев"", и все в этом русле.
Но внезапно, из-за угла вышли ещё семеро русских парней, и спокойно растолкали невежливых грузин. Ноги обидчиков затряслись, и они быстро ретировались в неизвестном направлении. Я и сам хотел заступиться, но русские меня опередили. В тот момент, я почувствовал их дикую ауру💪 
Вместе с ними, мы наведём порядок в Грузии, напомнив, кто кому на самом деле - братский народ!

Вот это настоящий грузин, а не манкурты, что топят за западные ценности! Огромное спасибо нашему подписчику! Сильные люди, как Даниэл и те русские парни, выходите 30 сентября! Без вас никак!",14520.0,125.0,1366.0
2022-09-28 17:40:50+00:00,"От подписчика:
Добрый вечер, друзья. Меня зовут Лука, мне 36. Живу в Тбилиси. Я сегодня увидел ваш канал и был очень заряжен, а сейчас испытываю грусть чуть ли не до слез... Я вспомнил как раньше работал на российскую компанию. Мои личные русские братья мне много платили и даже бесплатно отправили в Санкт-Петербург. 2017 год зима и холод. Я иду по невскому проспекту и вижу русскую бабушку. Она торговала флагами разными. И тогда я решил ей сделать хорошо и купил самый большой флаг России и самый дорогой. Привёз его домой в Грузию и забыл куда положил его... Искал по всем шкафам и не нашёл... В любом случае пойду на митинг. Дал дочери рисовать плакат с флагом Грузии, России, ДНР, ЛНР. Спасибо за всё русским... у меня никогда так не было всё хорошо как тогда. 
Огромное спасибо нашему подписчику! Ждём на площади Свободы 30 сентября!",17191.0,77.0,4558.0
2022-09-28 16:27:41+00:00,"ГрузИЯ, РоссИЯ! ГрузИЯ, РоссИЯ! 
Мы всегда едины! Мы русские и грузины! 
Официальная кричалка на митинге 30 сентября в Тбилиси!",20502.0,191.0,751.0
2022-09-28 15:33:16+00:00,"От подписчицы: 
Рооодныееее)) я так рада 🤗
Уже во всю готовлюсь к митингу нашему. Я грузинка. Я вообще на кухне дома сижу. А тут пойду на митинг 🥳 буду готовить печь. Кто придёт на митинг буду угощать.❤ Грузия за Россию!!!!🇷🇺🇬🇪 Z! 

Огромное спасибо нашим дорогим подписчикам! Все на митинг в Тбилиси 30 сентября!",19587.0,114.0,286.0
2022-09-28 14:01:18+00:00,"Грузинофобы и русофобы уже накрутили нам плохие реакции! Нас не остановить!
Распространяем по всем грузинским пабликам, беседам, среди российских переселенцев! 
МИТИНГ БУДЕТ! 30 сентября, Тбилиси, площадь Свободы! 19:00 
Мы выходим не только за Россию, но ещё и за Грузию! За нашу свободу!",16733.0,95.0,270.0
2022-09-28 09:42:58+00:00,"30 сентября, Тбилиси! 
Дорогие граждане и гости нашей великой Родины! Просим вас посетить нашу акцию!
Выходим на митинг в поддержку результатов референдума в ДНР, ЛНР, Херсонской и Запорожской области! Площадь Свободы, 19:00 по Тбилиси. 
При себе желательно иметь флаги России, Грузии, ДНР, ЛНР, тематические плакаты.
За развитием событий можно наблюдать на канале @svoboda_georgia",32050.0,1149.0,1005.0
2022-09-28 07:01:31+00:00,"Прямо сейчас в нашу страну приезжает огромное число россиян. Это создаёт для них неуверенное будущее в тени. Для решения их проблем необходимо принимать срочные меры! 
Свободная Грузия предлагает создать законодательную базу, уравнивающую в правах граждан Грузии и России! Особенно это касается статуса русского языка, он должен быть вторым в стране на законных основаниях! 
Свободная Грузия выступает за введение рублёвой зоны на территории нашей страны.",13966.0,150.0,61.0
2022-09-27 15:45:48+00:00,"Свободная Грузия требует от наших властей незамедлительно признать результаты референдума в ДНР, ЛНР, Херсонской и Запорожской области, после их оглашения! 
— По итогам обработки 14% протоколов 96,97% избирателей проголосовали за вхождение Херсонской области Украины в состав России.
— На референдуме в Запорожской области 98% проголосовали за вхождение в состав РФ по итогам обработки 20% протоколов.
— По итогам обработки 14,22% протоколов 97,91% избирателей проголосовали за вхождение ДНР в состав России.",11308.0,16.0,70.0
